SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
6,6,4,54,1,1,7,1,3,4,5,1,8,7,1,5,1,2,1,3,2,4,8
4,1,1,68,1,2,3,2,3,4,4,1,8,7,1,3,1,2,2,6,1,2,3
4,7,7,66,1,2,6,2,3,4,4,0,5,2,4,4,2,2,3,2,1,3,5
3,5,6,39,1,4,4,2,1,1,1,-1,8,8,1,1,4,2,2,3,3,3,5
5,5,4,56,2,2,6,2,3,2,4,1,2,2,4,4,1,2,2,6,1,1,1
5,5,6,42,3,3,4,3,1,4,4,1,3,1,4,2,1,2,4,7,4,2,4
3,2,4,33,1,2,3,2,3,2,3,-1,2,4,2,3,1,1,2,6,1,2,4
7,7,7,85,2,2,3,2,1,2,2,0,4,3,3,2,1,1,4,3,1,1,1
7,6,4,56,1,2,5,2,1,2,5,1,8,7,1,4,1,2,2,4,1,3,5
5,6,6,58,1,2,5,2,3,5,5,1,1,4,3,5,1,1,2,8,5,1,2
6,7,4,67,1,2,6,2,2,4,4,1,8,5,2,4,1,1,1,7,1,3,5
6,5,6,53,1,1,5,1,3,5,5,1,8,8,1,5,1,1,2,8,1,3,7
7,7,7,82,1,2,5,2,3,3,5,1,2,2,4,4,1,1,2,9,1,1,1
6,6,6,50,1,1,5,1,3,3,4,1,8,6,2,4,1,2,1,6,3,4,9
5,4,4,42,1,1,5,1,3,2,2,1,8,8,1,2,1,2,1,4,2,1,1
5,5,6,45,3,3,3,1,1,4,3,1,5,1,4,2,4,1,2,1,5,3,7
7,7,7,76,1,2,7,2,2,5,5,0,8,7,1,5,1,1,2,7,1,4,9
3,2,1,38,1,2,2,2,3,3,3,1,8,6,2,2,1,1,2,2,1,4,9
6,6,4,46,1,1,4,1,3,2,2,1,8,8,1,1,1,2,1,2,2,2,3
2,3,4,16,3,2,1,2,2,3,3,0,2,3,3,3,1,2,4,8,1,4,8
3,3,4,45,3,3,4,1,1,4,4,1,2,1,4,4,2,2,2,7,4,2,3
6,6,6,63,1,2,4,2,3,3,5,0,2,3,3,5,1,1,3,8,1,2,4
6,6,6,49,1,2,4,2,2,4,5,1,8,7,1,3,1,1,2,3,1,3,5
6,5,4,43,2,1,99,1,3,4,4,-1,6,5,2,4,1,2,1,7,4,2,3
5,5,1,46,1,2,4,2,2,2,3,0,2,4,3,2,1,1,4,8,1,2,3
7,4,4,41,1,2,99,2,2,1,2,-1,4,8,1,2,1,2,2,3,1,3,5
5,5,4,47,1,2,6,2,2,5,5,0,2,3,3,5,1,2,4,8,1,4,9
7,6,6,44,1,2,6,2,2,2,5,1,8,8,1,2,1,2,2,6,1,3,7
6,6,6,49,1,2,98,2,1,2,2,-1,8,7,2,1,1,2,2,4,1,3,5
6,6,4,41,2,2,2,1,2,3,4,0,8,6,2,3,4,1,4,5,1,3,6
5,6,1,79,1,2,4,2,2,2,3,1,2,1,4,3,1,1,2,6,5,4,8
6,4,5,34,2,1,3,1,3,2,2,1,8,7,1,2,1,2,1,1,3,2,4
7,7,7,85,1,1,5,1,3,5,5,1,8,7,1,5,1,2,1,7,1,1,1
3,4,3,42,1,2,6,1,2,2,3,0,4,4,2,2,1,2,3,6,1,3,6
6,5,4,56,1,2,4,2,2,3,5,1,8,6,2,5,1,2,2,7,1,2,4
3,5,7,10,2,2,1,1,3,2,2,1,3,2,4,2,1,2,1,1,4,4,8
6,6,5,64,1,1,7,1,3,2,2,1,8,6,2,2,1,2,1,2,2,3,7
7,7,7,29,1,2,1,3,1,2,5,0,2,5,2,2,2,2,4,8,1,1,1
5,4,6,60,1,1,7,1,3,5,5,1,2,3,3,5,1,1,1,9,4,2,4
7,7,7,50,1,2,4,2,2,1,1,0,2,5,2,3,4,2,3,3,1,4,9
5,6,6,49,3,4,1,2,2,2,4,0,7,4,3,2,2,1,2,1,5,3,5
6,6,5,43,1,1,4,1,3,3,5,1,1,5,2,3,1,2,1,2,3,4,8
7,6,6,62,1,2,7,2,2,2,5,1,8,8,1,4,1,2,2,8,1,3,5
4,3,3,69,1,2,3,2,3,3,3,0,2,4,3,3,2,1,3,8,1,3,5
6,7,7,41,1,1,3,1,3,5,5,0,8,7,2,5,1,1,1,8,4,4,8
1,1,7,30,2,2,1,2,3,2,2,1,6,5,2,2,1,1,1,1,5,1,1
6,5,4,49,1,2,5,2,2,2,3,-1,8,8,1,1,2,1,2,7,1,4,9
6,6,5,39,1,1,99,1,3,4,4,1,8,8,1,4,2,1,1,7,2,3,5
4,4,5,43,1,2,4,2,2,5,3,0,2,5,2,3,1,1,3,5,1,3,5
5,6,4,43,2,2,99,2,3,3,3,0,1,2,4,3,1,2,5,3,1,3,7
6,6,7,59,1,1,5,1,3,2,2,-1,4,8,1,2,1,2,2,4,2,2,4
4,3,2,40,2,1,3,1,3,3,3,1,6,5,2,3,1,2,1,1,3,1,2
5,5,5,42,1,2,1,2,2,2,2,0,2,3,3,2,1,2,3,2,1,3,5
7,7,7,69,1,2,3,2,2,2,3,1,2,3,3,2,1,1,1,6,1,3,6
6,6,4,46,1,2,6,2,3,3,3,1,8,8,1,3,1,1,2,5,1,4,8
7,7,6,48,1,1,7,1,3,2,2,-1,8,8,1,2,1,2,1,2,2,2,3
3,4,4,46,1,2,2,1,1,4,3,1,2,2,4,5,3,1,1,7,1,3,7
4,4,7,56,2,2,99,1,2,4,4,1,2,4,2,4,4,1,2,3,1,3,7
6,6,4,48,1,2,99,2,2,4,3,1,8,6,2,4,2,2,1,7,1,3,7
5,6,7,52,1,2,1,2,3,2,4,0,2,2,4,3,1,2,5,3,1,2,3
7,7,7,67,2,2,99,2,3,1,1,0,99,2,4,1,4,2,4,1,1,2,4
2,6,6,71,3,3,7,1,3,5,5,1,7,2,4,5,1,2,3,9,4,4,9
3,3,3,37,3,2,2,2,3,1,2,0,4,1,4,1,1,2,1,1,3,3,6
7,7,6,57,1,2,4,2,1,1,3,0,8,8,1,1,1,2,2,3,1,4,9
7,7,6,85,1,2,5,2,3,2,5,0,2,3,3,5,1,1,4,9,1,3,5
